id,match_number,group_name,home_team_id,home_team,home_team_code,away_team_id,away_team,away_team_code,stadium_id,stadium,stadium_city,stadium_country,date,time_utc
2,1,A,1,Mexico,MEX,3,South Africa,RSA,14,Estadio Azteca,Mexico City,Mexico,2026-06-11,19:00:00
1,2,A,2,Korea Republic,KOR,4,Czechia,CZE,16,Estadio Akron,Guadalajara,Mexico,2026-06-12,02:00:00
7,3,B,5,Canada,CAN,8,Bosnia-Herzegovina,BIH,13,BMO Field,"Toronto, ON",Canada,2026-06-12,19:00:00
20,4,D,13,USA,USA,15,Paraguay,PAR,3,SoFi Stadium,"Inglewood, CA",USA,2026-06-13,01:00:00
9,8,B,6,Qatar,QAT,7,Switzerland,SUI,4,Levi's Stadium,"Santa Clara, CA",USA,2026-06-13,19:00:00
13,7,C,9,Brazil,BRA,12,Morocco,MAR,1,MetLife Stadium,"East Rutherford, NJ",USA,2026-06-13,22:00:00
15,5,C,10,Haiti,HAI,11,Scotland,SCO,9,Gillette Stadium,"Foxborough, MA",USA,2026-06-14,01:00:00
19,6,D,14,Australia,AUS,16,Turkey,TUR,12,BC Place,"Vancouver, BC",Canada,2026-06-14,04:00:00
26,10,E,19,Germany,GER,20,Curaçao,CUW,10,NRG Stadium,"Houston, TX",USA,2026-06-14,17:00:00
34,11,F,21,Netherlands,NED,22,Japan,JPN,2,AT&T Stadium,"Arlington, TX",USA,2026-06-14,20:00:00
28,9,E,17,Côte d'Ivoire,CIV,18,Ecuador,ECU,7,Lincoln Financial Field,"Philadelphia, PA",USA,2026-06-14,23:00:00
33,12,F,24,Sweden,SWE,23,Tunisia,TUN,15,Estadio BBVA,Monterrey,Mexico,2026-06-15,02:00:00
